Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,330.040009,334.459991,330.000000,332.399994,325.511597,3421000
2020-08-20,330.190002,338.000000,330.190002,337.320007,330.329651,2966000
2020-08-21,338.000000,338.799988,335.970001,337.100006,330.114166,2680900
2020-08-24,339.359985,343.829987,338.750000,343.640015,336.518616,2753900
2020-08-25,344.709991,348.459991,343.329987,347.660004,340.455322,2862700
2020-08-26,348.000000,352.290009,345.500000,351.019989,343.745728,3512000
2020-08-27,351.730011,358.000000,350.579987,356.000000,348.622559,3811700
2020-08-28,357.480011,367.250000,356.160004,366.119995,358.532837,3544700
2020-08-31,366.630005,366.630005,357.690002,358.190002,350.767151,3948200
2020-09-01,357.709991,359.440002,353.559998,356.899994,349.503845,4409600
2020-09-02,357.390015,361.600006,356.279999,360.700012,353.225128,4127200
2020-09-03,358.470001,358.940002,341.260010,343.839996,336.714539,6297400
2020-09-04,343.000000,346.989990,326.549988,335.010010,328.067566,6571200
2020-09-08,328.760010,335.709991,326.899994,329.880005,323.043854,4425700
2020-09-09,337.390015,342.760010,332.369995,339.640015,332.601593,3344900
2020-09-10,342.500000,345.130005,331.140015,332.880005,325.981628,2845900
2020-09-11,334.709991,334.709991,327.309998,330.149994,323.308258,2920400
2020-09-14,334.970001,340.000000,334.019989,338.600006,331.583099,3416100
2020-09-15,342.739990,343.929993,338.529999,339.140015,332.111908,2396400
2020-09-16,341.279999,346.040009,339.790009,341.850006,334.765778,3049000
2020-09-17,337.140015,343.720001,336.000000,339.429993,332.395874,3713000
2020-09-18,338.209991,341.140015,333.369995,335.260010,328.312286,4006000
2020-09-21,329.470001,331.670013,320.809998,327.850006,321.055908,4466000
2020-09-22,329.510010,336.029999,325.109985,335.309998,328.361267,3375300
2020-09-23,334.839996,335.170013,323.470001,324.529999,317.804688,2893900
2020-09-24,323.200012,330.779999,321.179993,328.209991,321.408386,3706300
2020-09-25,325.649994,333.480011,322.100006,331.779999,324.904419,3077500
2020-09-28,336.609985,340.570007,335.809998,338.390015,331.377441,3122500
2020-09-29,338.390015,340.720001,335.820007,336.230011,329.262238,2679500
2020-09-30,336.700012,343.649994,336.420013,338.170013,331.162079,3285200
2020-10-01,342.239990,346.700012,340.279999,343.369995,336.254272,2503600
2020-10-02,338.269989,342.609985,336.010010,338.829987,331.808350,2184600
2020-10-05,341.679993,343.250000,338.970001,343.250000,336.136749,2081600
2020-10-06,342.059998,346.359985,336.220001,337.429993,330.437347,2553400
2020-10-07,341.779999,344.649994,340.339996,343.899994,336.773254,3068200
2020-10-08,345.010010,347.690002,344.239990,345.149994,338.390930,1991800
2020-10-09,347.989990,353.359985,347.000000,352.390015,345.489166,3116500
2020-10-12,355.000000,355.000000,350.820007,352.040009,345.145996,2942900
2020-10-13,351.429993,351.500000,345.019989,345.839996,339.067474,2523800
2020-10-14,345.760010,347.190002,341.190002,342.700012,335.988953,2234300
2020-10-15,338.299988,339.609985,332.820007,338.570007,331.939880,3727300
2020-10-16,340.000000,344.980011,339.230011,339.399994,332.753662,3324600
2020-10-19,340.119995,341.299988,330.429993,331.670013,325.174957,2937600
2020-10-20,333.040009,336.799988,331.679993,331.720001,325.223999,2677800
2020-10-21,332.489990,336.320007,331.299988,333.420013,326.890686,2725300
2020-10-22,333.369995,335.380005,329.250000,333.600006,327.067169,2256000
2020-10-23,335.690002,335.690002,328.309998,329.609985,323.155243,2945400
2020-10-26,326.410004,327.239990,314.230011,318.059998,311.831482,5173300
2020-10-27,318.899994,319.559998,312.359985,317.109985,310.900024,4314900
2020-10-28,301.690002,302.000000,288.600006,291.380005,285.673981,11518200
2020-10-29,293.200012,295.299988,287.549988,293.179993,287.438690,9582300
2020-10-30,289.850006,291.850006,281.200012,288.640015,282.987640,6892800
2020-11-02,294.239990,294.839996,288.119995,289.970001,284.291504,5094900
2020-11-03,294.450012,300.339996,291.779999,295.390015,289.605469,4097700
2020-11-04,305.089996,312.720001,302.239990,307.200012,301.184113,4790100
2020-11-05,315.140015,319.350006,313.579987,316.529999,310.331451,3794400
2020-11-06,315.980011,316.489990,310.089996,313.640015,307.498047,2978500
2020-11-09,346.920013,357.000000,340.899994,344.559998,337.812531,10933700
